RMS_s,Mean_s,STD_s, MAX_s, Kurtosis_s, Skewness_s, Var_s,Entropy_s,RMS_v,Mean_v,STD_v, MAX_v, Kurtosis_v, Skewness_v, Var_v,Entropy_v,target
0.776768833,0.592886911,0.501856522,6.257070489,37.94030183,3.821844145,0.60336982,-17381.77402,0.521668224,0.403090759,0.331146145,1.407990652,2.91681112,0.894560292,0.272137736,6897.294966,2
1.307072362,0.608699923,1.156697593,24.01491269,352.1793571,17.44074157,1.70843816,-386676.8913,0.486530295,0.382590369,0.300563045,1.356428469,3.139380944,0.90494125,0.236711728,8111.402513,2
0.841404225,0.679759374,0.495876175,2.834309989,4.320502376,1.045649705,0.70796107,-12639.51966,0.481516399,0.375215032,0.301783936,1.364969091,3.396829688,0.998252674,0.231858043,7788.157571,2
0.719777868,0.577998341,0.428954282,2.092310865,3.555452953,0.936348568,0.518080179,-1328.212706,0.493935105,0.385701169,0.308558585,1.385288532,3.049211018,0.902502739,0.243971888,7789.318407,2
0.727772964,0.591126595,0.424530846,2.175904727,3.619669777,0.86885369,0.529653487,-909.6278975,0.484338697,0.38089213,0.299177119,1.342191171,2.840157309,0.819630627,0.234583973,8276.904147,2
0.751653292,0.593615434,0.46109396,3.342668421,5.106395474,1.136406552,0.564982672,-5536.652265,0.507259476,0.388652269,0.325981157,1.395951028,3.487612931,1.08803797,0.257312176,6605.926672,2
0.809517593,0.604727797,0.538171735,6.058746826,25.22992294,3.033719843,0.655318733,-21959.18977,0.49705837,0.386588537,0.31243924,1.357675251,3.091582873,0.951893505,0.247067023,7506.349744,2
0.827199247,0.618165129,0.549669455,7.677623899,58.47944051,4.79706688,0.684258594,-28048.5399,0.481484518,0.376621432,0.299975729,1.29039709,2.928529507,0.882127635,0.231827342,8054.449745,2
0.891039129,0.719614718,0.525462568,4.447560281,8.225508066,1.432756549,0.79395073,-19876.86302,0.455095482,0.353068806,0.287151467,1.336438319,3.087571918,0.958866511,0.207111898,8041.768306,2
1.203908223,0.786510917,0.911489003,16.60533789,191.489219,11.23733658,1.449395009,-188517.6182,0.466872007,0.367983631,0.287331114,1.286504098,2.827507044,0.852989653,0.217969471,8457.054946,2
3.114142428,2.606010476,1.704890199,10.40729452,2.899028594,0.48631903,9.697883059,-1370417.269,0.790018191,0.628613778,0.478516499,2.642703769,4.191865643,1.075081686,0.624128742,-8544.14146,1
